,B_mature|Naive,B_mature|Memory_switched,B_mature|Memory_unswitched,B_mature|Memory_atypical,B_mature|HSP,B_mature|ISG,B_mature|CCL4,B_mature|GBP,B_mature|EGR,Cancer_Tissue,Cancer_Type
GSE171555_180E1A-00,0.4851063829787234,0.31063829787234043,0.17872340425531916,0.02553191489361702,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE200173_Gene_express_2-3,0.7201834862385321,0.0,0.2798165137614679,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,HCC
GSE161329_8donor_PBMC_A1,0.35978835978835977,0.2275132275132275,0.3915343915343915,0.021164021164021163,0.0,0.0,0.0,0.0,0.0,Control,
GSE181919_C46,0.07766990291262135,0.3786407766990291,0.0,0.0,0.3786407766990291,0.1650485436893204,0.0,0.0,0.0,Cancer_Tumor,HNSCC
GSE136103_cirrhotic2_cd45-_2,0.7379679144385026,0.016042780748663103,0.10160427807486631,0.0855614973262032,0.0106951871657754,0.0,0.0481283422459893,0.0,0.0,Non-malignant disease,
GSE172225_192566_GEX_HHT,0.5836065573770491,0.21967213114754097,0.19672131147540983,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE132338_p1035852-6,0.9365079365079365,0.05555555555555555,0.007936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE216329_P22_T_ADM001_MorD3_4_G,0.8225806451612904,0.10483870967741936,0.07258064516129033,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Blood,NSCLC
GSE181919_C86,0.2835820895522388,0.17164179104477612,0.291044776119403,0.0,0.2462686567164179,0.0,0.0,0.007462686567164179,0.0,Cancer_Tumor,HNSCC
GSE166489_113-GEX_HCR,0.856280193236715,0.11473429951690821,0.028985507246376812,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE162806_MM3038_4h,0.7233502538071066,0.12436548223350254,0.15228426395939088,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE182221_Amit1_9752824759,0.8068295949112823,0.15031804486106462,0.042852360227653166,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE168522_16_20171027,0.5906183368869936,0.3752665245202559,0.03411513859275053,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE166489_Y129-1-5P_HHT,0.6949602122015915,0.0,0.07559681697612732,0.0,0.22944297082228116,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE136035_Mountz_T1,0.9757630161579892,0.02423698384201077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE182381_KC42_2_placenta,0.9126050420168067,0.0,0.058823529411764705,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,Control,
GSE132338_p1035850-3,0.8642857142857143,0.11428571428571428,0.0,0.02142857142857143,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE144945_pat9,0.13513513513513514,0.12162162162162163,0.6081081081081081,0.0,0.13513513513513514,0.0,0.0,0.0,0.0,Cancer_Tumor,NSCLC
GSE159913_Kidney_Normal_Myhl,0.0,0.030303030303030304,0.07575757575757576,0.0,0.8484848484848485,0.0,0.015151515151515152,0.0,0.030303030303030304,Cancer_AdjNorm,RCC
GSE130157_14562X2,0.9145299145299145,0.07122507122507123,0.014245014245014245,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Blood,CRC
GSE159677_02dat20190717tisCARconDIS,0.0962962962962963,0.05185185185185185,0.6444444444444445,0.0,0.014814814814814815,0.0,0.18518518518518517,0.0,0.007407407407407408,Non-malignant disease,
GSE182244_HD2,0.0,0.9444444444444444,0.05555555555555555,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE132338_p1035836-9,0.7093023255813954,0.18604651162790697,0.10465116279069768,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE178991_sample_IV_3_5primeGEX,0.7369042930287515,0.0,0.2630957069712485,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE138867_scRNA_V041_F043,0.8762541806020067,0.09364548494983277,0.030100334448160536,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE155673_cov_scrna_17,0.18840579710144928,0.2028985507246377,0.13043478260869565,0.4782608695652174,0.0,0.0,0.0,0.0,0.0,Control,
GSE166992_IVAR55D,0.8294930875576036,0.027649769585253458,0.0944700460829493,0.04838709677419355,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE138867_scRNA_V045_F120,0.38306451612903225,0.3548387096774194,0.07258064516129033,0.04838709677419355,0.14112903225806453,0.0,0.0,0.0,0.0,Control,
GSE171964_2051_7,0.5450819672131147,0.4016393442622951,0.05327868852459016,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE171703_S272_RNA,0.8222967309304275,0.1399832355406538,0.037720033528918694,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE171555_61BBAD-00,0.49843260188087773,0.1974921630094044,0.25391849529780564,0.0438871473354232,0.0,0.0,0.006269592476489028,0.0,0.0,Control,
GSE139891_GC3b,0.25,0.6470588235294118,0.029411764705882353,0.0,0.0,0.07352941176470588,0.0,0.0,0.0,Control,
GSE150877_Fresh-Human-Blood,0.1546134663341646,0.6334164588528678,0.19201995012468828,0.0199501246882793,0.0,0.0,0.0,0.0,0.0,Control,
GSE136103_blood3,0.6510067114093959,0.348993288590604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE163633_SCC002-Bl-HLADR,0.6909090909090909,0.07272727272727272,0.18181818181818182,0.05454545454545454,0.0,0.0,0.0,0.0,0.0,Cancer_Blood,HNSCC
GSE178991_12-14,0.6784660766961652,0.032448377581120944,0.2890855457227139,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE132338_p1035846-3,0.7203389830508474,0.2542372881355932,0.025423728813559324,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE178991_V6,0.5822147651006712,0.05704697986577181,0.36073825503355705,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE162806_MM3001_24h,0.6308068459657702,0.24205378973105135,0.1271393643031785,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE162806_MM3012_Ctrl,0.5019157088122606,0.3716475095785441,0.12643678160919541,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE133028_3_PB_uns_5pGEX,0.45364238410596025,0.4337748344370861,0.10264900662251655,0.0,0.0,0.009933774834437087,0.0,0.0,0.0,Control,
GSE129845_195,0.13815789473684212,0.3026315789473684,0.5131578947368421,0.0,0.0,0.0,0.0,0.0,0.046052631578947366,Non-malignant disease,
GSE171964_2051_2,0.5866666666666667,0.2826666666666667,0.13066666666666665,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE144945_pat6,0.1497005988023952,0.20359281437125748,0.47305389221556887,0.0,0.07784431137724551,0.05389221556886228,0.0,0.0,0.041916167664670656,Cancer_Tumor,NSCLC
GSE132802_SKIN_HV5,0.7612403100775194,0.21550387596899226,0.023255813953488372,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE155468_10x_RPP_TAA_5,0.0,0.14012738853503184,0.6496815286624203,0.0,0.1464968152866242,0.0,0.05732484076433121,0.0,0.006369426751592357,Non-malignant disease,
GSE162806_MM3005_4h,0.838655462184874,0.1092436974789916,0.052100840336134456,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE136103_cirrhotic2_cd45-_1,0.8128342245989305,0.0427807486631016,0.0213903743315508,0.0962566844919786,0.0,0.0,0.026737967914438502,0.0,0.0,Non-malignant disease,
GSE181919_C57,0.0,0.16804407713498623,0.0,0.0,0.8319559228650137,0.0,0.0,0.0,0.0,Cancer_Tumor,HNSCC
GSE153117_HE005,0.06276346604215456,0.5967213114754099,0.053395784543325525,0.0,0.0,0.27259953161592504,0.014519906323185013,0.0,0.0,Control,
GSE181919_C22,0.3307860262008734,0.14847161572052403,0.2314410480349345,0.0,0.2893013100436681,0.0,0.0,0.0,0.0,Cancer_Tumor,HNSCC
