,Endothelial|Venous_activated,Endothelial|Capillary_activated,Endothelial|Arterial,Endothelial|Capillary_general,Endothelial|Lymphatic_LYVE1,Endothelial|Venous_general,Endothelial|Sinusoidal,Endothelial|BMP4,Endothelial|Venous_C7,Endothelial|CXCR4,Endothelial|Capillary_BBB,Endothelial|Capillary_aerocyte,Endothelial|Venous_ISG,Endothelial|Venous_DPEP1,Endothelial|Lymphatic_HGF,Endothelial|Venous_CXCL10,Cancer_Tissue,Cancer_Type
GSE180878_RM_D,0.732484076433121,0.10828025477707007,0.07961783439490445,0.03184713375796178,0.028662420382165606,0.01910828025477707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE136103_healthy1_cd45-A_2,0.0,0.012165450121654502,0.2846715328467153,0.12408759124087591,0.019464720194647202,0.0413625304136253,0.44525547445255476,0.04866180048661801,0.024330900243309004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE136103_cirrhotic2_cd45-_2,0.0,0.0,0.1330603889457523,0.3766632548618219,0.04196519959058342,0.29887410440122825,0.04708290685772774,0.0,0.06653019447287616,0.03582395087001024,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE174332_201019_ALS_106_snRNA-B5,0.0,0.0,0.24342105263157895,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.7302631578947368,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE131778_rca4-1,0.0,0.0,0.16560509554140126,0.08280254777070063,0.08280254777070063,0.3630573248407643,0.0,0.25477707006369427,0.050955414012738856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE136103_cirrhotic3_cd45plus_1,0.0,0.0,0.10136157337367625,0.3857791225416036,0.04084720121028744,0.4205748865355522,0.007564296520423601,0.0,0.0,0.04387291981845688,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE176417_Sc_W2,0.5606811145510836,0.04891640866873065,0.07647058823529412,0.0,0.01826625386996904,0.22972136222910217,0.0,0.0,0.0,0.06594427244582043,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE168933_NASH1_POOL_20190318_NASH_1,0.0,0.0,0.2735294117647059,0.43529411764705883,0.0,0.2323529411764706,0.0,0.014705882352941176,0.04411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE155683_G1700193007191_Adult_Cornea,0.2111801242236025,0.0,0.07453416149068323,0.037267080745341616,0.3416149068322981,0.33540372670807456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE183219_HSA_JGR_460ST_G,0.0,0.15873015873015872,0.04126984126984127,0.19047619047619047,0.02857142857142857,0.08253968253968254,0.0,0.0,0.0,0.06666666666666667,0.0,0.43174603174603177,0.0,0.0,0.0,0.0,Cancer_Tumor,NSCLC
GSE160756_h-AF-1zhong,0.0,0.010309278350515464,0.44329896907216493,0.36082474226804123,0.0,0.0,0.0,0.0,0.0,0.18556701030927836,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE181957_SC230,0.39901477832512317,0.059113300492610835,0.03940886699507389,0.054187192118226604,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.019704433497536946,0.0,0.0,0.0,Non-malignant disease,
GSE183219_HSA_JGR_522SN_G,0.04195205479452055,0.1703767123287671,0.052226027397260275,0.0,0.053082191780821915,0.0059931506849315065,0.0,0.0,0.0,0.0,0.0,0.6763698630136986,0.0,0.0,0.0,0.0,Cancer_AdjNorm,NSCLC
GSE182208_SC_NS1,0.5728155339805825,0.0,0.04854368932038835,0.0,0.1262135922330097,0.2524271844660194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE146123_human_molar_pulp,0.0,0.0,0.14602803738317757,0.3703271028037383,0.0,0.2266355140186916,0.0,0.0,0.23598130841121495,0.02102803738317757,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE159677_02dat20190717tisCARconDIS,0.0,0.0,0.4321475625823452,0.01844532279314888,0.0,0.0,0.0,0.530961791831357,0.0,0.01844532279314888,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE175817_D406H,0.7060141949943967,0.010085917071348524,0.09376167351512887,0.0,0.07508404930892791,0.11505416511019799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
