,Fibroblast|IL6,Fibroblast|HSP,Fibroblast|Universal,Fibroblast|KLK1,Fibroblast|LRRC15,Fibroblast|IL24,Fibroblast|CST2,Fibroblast|Alveolar,Fibroblast|CLDN1,Fibroblast|GREM2,Fibroblast|Corneal,Fibroblast|COX15,Fibroblast|CD36,Fibroblast|CCL19,Fibroblast|ISG,Fibroblast|Chondrocyte,Fibroblast|Dermal-sheath,Fibroblast|SYT1,Fibroblast|COCH,Fibroblast|ITGB8,Fibroblast|CLEC14A,Fibroblast|Satellite,Fibroblast|NRG1,Fibroblast|ADAMDEC1,Cancer_Tissue,Cancer_Type
GSE180878_RM_D,0.3670886075949367,0.28860759493670884,0.28354430379746837,0.060759493670886074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE131778_rca4-1,0.0,0.0,0.7857142857142857,0.0,0.01020408163265306,0.0,0.12244897959183673,0.08163265306122448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE176417_Sc_W2,0.06970509383378017,0.013404825737265416,0.5201072386058981,0.11528150134048257,0.07238605898123325,0.03753351206434316,0.0,0.0,0.013404825737265416,0.1581769436997319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE176308_sample1,0.5594280607685433,0.0,0.44057193923145666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE155683_G1700193007191_Adult_Cornea,0.0,0.0,0.20815450643776823,0.0,0.0,0.0,0.0,0.0,0.0,0.2145922746781116,0.5665236051502146,0.01072961373390558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE182381_KC42_2_placenta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE183219_HSA_JGR_460ST_G,0.0,0.008658008658008658,0.0,0.0,0.0,0.0,0.31601731601731603,0.5411255411255411,0.0,0.0,0.0,0.0,0.025974025974025976,0.07792207792207792,0.030303030303030304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,NSCLC
GSE160756_h-AF-1zhong,0.0,0.0,0.0,0.0,0.0027660391855551286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9972339608144448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE181957_SC230,0.0,0.0,0.06153846153846154,0.0,0.13846153846153847,0.0,0.0,0.0,0.02564102564102564,0.5384615384615384,0.0,0.0,0.0,0.18974358974358974,0.0,0.0,0.046153846153846156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE183219_HSA_JGR_522SN_G,0.26857142857142857,0.022857142857142857,0.13142857142857142,0.0,0.0,0.0,0.0,0.5771428571428572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_AdjNorm,NSCLC
GSE142045_Juvenile_chondrocytes,0.039112164637431314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9608878353625687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE182208_SC_NS1,0.016225448334756618,0.0,0.8787361229718189,0.0,0.0,0.0,0.0,0.0,0.0,0.10503842869342442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE146123_human_molar_pulp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE159677_02dat20190717tisCARconDIS,0.0,0.0,0.019704433497536946,0.0,0.04433497536945813,0.0,0.8620689655172413,0.04433497536945813,0.0,0.0,0.0,0.0,0.0,0.0,0.029556650246305417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE158692_19G02977_Small_TN,0.011342155009451797,0.0,0.0,0.0,0.23062381852551986,0.0,0.5519848771266541,0.16824196597353497,0.015122873345935728,0.0,0.0,0.0,0.022684310018903593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Metastasis,CRC
GSE147979_IrisPE75,0.12396694214876033,0.024793388429752067,0.008264462809917356,0.0,0.0,0.0,0.0,0.0,0.0,0.008264462809917356,0.0,0.08264462809917356,0.024793388429752067,0.0,0.0,0.0,0.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE175817_D406H,0.05517241379310345,0.1103448275862069,0.020689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.5448275862068965,0.0,0.0,0.0,0.23793103448275862,0.0,0.0,0.017241379310344827,0.0,0.013793103448275862,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE158970_Polydactyly_04,0.0,0.0,0.5207253886010362,0.23316062176165803,0.025906735751295335,0.0,0.023316062176165803,0.0,0.14248704663212436,0.054404145077720206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE145927_Bx45A,0.0,0.0,0.046875,0.0,0.0,0.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,0.90625,0.0,0.0,0.0,0.0,0.0,0.015625,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE155850_NL15Myeloid,0.4716981132075472,0.08176100628930817,0.18867924528301888,0.0,0.0,0.050314465408805034,0.0,0.0,0.0,0.1069182389937107,0.0,0.0,0.0,0.10062893081761007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
