,Mural|FGF7,Mural|RERGL,Mural|CD36,Mural|TNFAIP6,Mural|SPINT2,Mural|LAMC3,Mural|ISG,Mural|ROBO2,Cancer_Tissue,Cancer_Type
GSE180878_RM_D,0.5576923076923077,0.4230769230769231,0.019230769230769232,0.0,0.0,0.0,0.0,0.0,Control,
GSE131778_rca4-1,0.018617021276595744,0.07446808510638298,0.0,0.0,0.9069148936170213,0.0,0.0,0.0,Non-malignant disease,
GSE136103_cirrhotic3_cd45plus_1,0.0,0.8482142857142857,0.15178571428571427,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE176417_Sc_W2,0.3947180585296217,0.5017844396859387,0.0,0.10349750178443969,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE155683_G1700193007191_Adult_Cornea,0.28846153846153844,0.5769230769230769,0.1346153846153846,0.0,0.0,0.0,0.0,0.0,Control,
GSE156905_Human_Colon_4602,0.0,0.03367003367003367,0.030303030303030304,0.0,0.936026936026936,0.0,0.0,0.0,Control,
GSE160756_h-AF-1zhong,0.19393939393939394,0.6,0.16363636363636364,0.024242424242424242,0.01818181818181818,0.0,0.0,0.0,Control,
GSE181957_SC230,0.4913294797687861,0.43352601156069365,0.07514450867052024,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE183219_HSA_JGR_522SN_G,0.04247104247104247,0.7837837837837838,0.0,0.0,0.019305019305019305,0.15444015444015444,0.0,0.0,Cancer_AdjNorm,NSCLC
GSE146123_human_molar_pulp,0.0,0.6752136752136753,0.3247863247863248,0.0,0.0,0.0,0.0,0.0,Control,
GSE159677_02dat20190717tisCARconDIS,0.0,0.059670781893004114,0.0,0.0,0.9403292181069959,0.0,0.0,0.0,Non-malignant disease,
GSE158692_19G02977_Small_TN,0.10656934306569343,0.6642335766423357,0.04671532846715328,0.13284671532846715,0.033576642335766425,0.0,0.016058394160583942,0.0,Cancer_Metastasis,CRC
GSE175817_D406H,0.2579185520361991,0.7375565610859729,0.004524886877828055,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE158970_Polydactyly_04,0.35629453681710216,0.4323040380047506,0.21140142517814728,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE145927_Bx45A,0.0,0.4349775784753363,0.5650224215246636,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE181316_scar_3_scRNA,0.5536062378167641,0.3898635477582846,0.056530214424951264,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE157277_012319CORTEX_HHT,0.0,0.948051948051948,0.012987012987012988,0.0,0.03896103896103896,0.0,0.0,0.0,Non-malignant disease,
GSE154778_T2,0.03361344537815126,0.058823529411764705,0.3865546218487395,0.48739495798319327,0.0,0.0,0.03361344537815126,0.0,Cancer_Tumor,PC
GSE183852_TWCM-H8-lib1,0.027522935779816515,0.23519599666388658,0.737281067556297,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE183031_EF01_3V3_NextGem,0.11842105263157894,0.7105263157894737,0.17105263157894737,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE155468_10x_RPP_TAA_5,0.04201680672268908,0.3865546218487395,0.07563025210084033,0.03361344537815126,0.4579831932773109,0.0,0.004201680672268907,0.0,Non-malignant disease,
GSE181316_keloid_2_scRNA,0.4194139194139194,0.2838827838827839,0.2967032967032967,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE181316_keloid_3L_scRNA,0.513550135501355,0.3333333333333333,0.14498644986449866,0.008130081300813009,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE181919_P33_R,0.05333333333333334,0.92,0.02666666666666667,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,Leukoplakia
GSE155683_3-1D,0.17424242424242425,0.29545454545454547,0.0,0.0,0.5303030303030303,0.0,0.0,0.0,Control,
GSE173252_sf1,0.22678571428571428,0.7732142857142857,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE183219_HSA_JGR_571ST_G,0.02564102564102564,0.36538461538461536,0.07051282051282051,0.0,0.08974358974358974,0.44871794871794873,0.0,0.0,Cancer_Tumor,NSCLC
GSE158692_19G00635_Tnbis,0.025,0.32,0.115,0.465,0.075,0.0,0.0,0.0,Cancer_Metastasis,CRC
GSE180544_MSG21,0.05343511450381679,0.8015267175572519,0.1450381679389313,0.0,0.0,0.0,0.0,0.0,Control,
GSE153834_COHP_34150_1_UN_Whole_C1_XCSCR_L27414_HVGW2DSXX_AGCATGGT,0.0,0.6078431372549019,0.39215686274509803,0.0,0.0,0.0,0.0,0.0,Control,
GSE147979_IrisStroma76,0.0,0.06666666666666667,0.0,0.0,0.9333333333333333,0.0,0.0,0.0,Control,
GSE178481_SCG_RCC-BM2-P-T1,0.0,0.38461538461538464,0.48717948717948717,0.038461538461538464,0.07692307692307693,0.0,0.01282051282051282,0.0,Cancer_Tumor,RCC
GSE168933_NASH1_LIB037229,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE159677_02dat20190515tisCARconDIS,0.0,0.04801477377654663,0.0,0.0,0.9519852262234534,0.0,0.0,0.0,Non-malignant disease,
GSE183219_HSA_JGR_514SN_G,0.013333333333333334,0.8933333333333333,0.0,0.0,0.02666666666666667,0.06666666666666667,0.0,0.0,Cancer_AdjNorm,NSCLC
GSE141526_ADWST11,0.44036697247706424,0.5596330275229358,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_AdjNorm,BCC
GSE130646_muscle1V1,0.02617801047120419,0.5287958115183246,0.44502617801047123,0.0,0.0,0.0,0.0,0.0,Control,
GSE184526_mix,0.0,0.9571428571428572,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,Cancer_AdjNorm,SGTs
GSE178481_RCC-PR3-T1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,RCC
GSE147979_IrisStroma75,0.0,0.576271186440678,0.0,0.0,0.423728813559322,0.0,0.0,0.0,Control,
GSE182208_SC_NS-2,0.2422145328719723,0.7577854671280276,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE178481_RCC-PR7-T,0.0,0.11080074487895716,0.8891992551210428,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,RCC
GSE164241_BM158,0.19289340101522842,0.8071065989847716,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE136103_cirrhotic3_cd45plus_2,0.0,0.8648648648648649,0.13513513513513514,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE143704_Sample_103476_HVGL3BGXB_hu_021219,0.22033898305084745,0.3615819209039548,0.4180790960451977,0.0,0.0,0.0,0.0,0.0,Control,
GSE158970_Polydactyly_03,0.45323741007194246,0.39568345323741005,0.1510791366906475,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE155468_10x_RPP_Con_6,0.0,0.12129380053908356,0.0,0.0,0.8787061994609164,0.0,0.0,0.0,Control,
GSE155468_10x_RPP_TAA_6,0.046153846153846156,0.33076923076923076,0.046153846153846156,0.0,0.5769230769230769,0.0,0.0,0.0,Non-malignant disease,
GSE171381_COVID_4__decidua__HHT,0.7961783439490446,0.0,0.15286624203821655,0.0,0.0,0.0,0.050955414012738856,0.0,Non-malignant disease,
GSE181957_SC163,0.22382671480144403,0.7545126353790613,0.021660649819494584,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE131778_rca1-2,0.14606741573033707,0.5730337078651685,0.06741573033707865,0.0,0.21348314606741572,0.0,0.0,0.0,Non-malignant disease,
GSE142784_CC32S-10XSC3,0.018154311649016642,0.9818456883509834,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,CCA
GSE161267_Pulp2,0.03513770180436847,0.5289648622981956,0.4358974358974359,0.0,0.0,0.0,0.0,0.0,Control,
GSE132771_N2W,0.06927710843373494,0.2620481927710843,0.0,0.0,0.04819277108433735,0.6204819277108434,0.0,0.0,Control,
GSE156776_A16,0.25333333333333335,0.6,0.14666666666666667,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE168933_NASH2_POOL_20190318_NASH_2,0.09803921568627451,0.8627450980392157,0.0392156862745098,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE183852_TWCM-H4,0.026690391459074734,0.29655990510083036,0.6767497034400949,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE146123_No5_24_yo_healthy_retained,0.0,0.49606299212598426,0.5039370078740157,0.0,0.0,0.0,0.0,0.0,Control,
GSE183219_HSA_JGR_458SN_G,0.2158273381294964,0.22302158273381295,0.0,0.0,0.06474820143884892,0.49640287769784175,0.0,0.0,Cancer_AdjNorm,NSCLC
GSE178481_RCC-PR5-T1,0.0,0.07620041753653445,0.9133611691022965,0.0,0.010438413361169102,0.0,0.0,0.0,Cancer_Tumor,RCC
GSE182208_SC_NS-3,0.045454545454545456,0.9545454545454546,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE145927_Bx45B,0.0,0.4868421052631579,0.4868421052631579,0.0,0.021929824561403508,0.0,0.0043859649122807015,0.0,Non-malignant disease,
GSE164241_GM169,0.018571428571428572,0.9814285714285714,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE130646_muscle2V2,0.0,0.4864864864864865,0.5135135135135135,0.0,0.0,0.0,0.0,0.0,Control,
GSE164241_GM184a,0.13537117903930132,0.6506550218340611,0.21397379912663755,0.0,0.0,0.0,0.0,0.0,Control,
GSE172225_192561SKN_GEX_HHT,0.40350877192982454,0.5964912280701754,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE178481_RCC-PR8-N,0.0,0.8586956521739131,0.14130434782608695,0.0,0.0,0.0,0.0,0.0,Cancer_AdjNorm,RCC
GSE164241_GM147,0.0673076923076923,0.7980769230769231,0.0673076923076923,0.0673076923076923,0.0,0.0,0.0,0.0,Control,
GSE173252_dd1A,0.4408033826638478,0.5591966173361522,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE132771_F4W,0.5360230547550432,0.3227665706051873,0.002881844380403458,0.0,0.11527377521613832,0.023054755043227664,0.0,0.0,Non-malignant disease,
GSE132802_SKIN_HV1_F2,0.327217125382263,0.672782874617737,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE181919_N22,0.0,0.41025641025641024,0.38461538461538464,0.0,0.20512820512820512,0.0,0.0,0.0,Cancer_AdjNorm,HNSCC
GSE176417_Sc_skin4,0.4057971014492754,0.40901771336553944,0.16908212560386474,0.0,0.01610305958132045,0.0,0.0,0.0,Control,
GSE181957_SC240,0.5555555555555556,0.3055555555555556,0.08333333333333333,0.05555555555555555,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE164241_PD164c,0.08755760368663594,0.8110599078341014,0.059907834101382486,0.041474654377880185,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE132771_F5W,0.6212121212121212,0.25757575757575757,0.07575757575757576,0.0,0.0,0.045454545454545456,0.0,0.0,Non-malignant disease,
GSE159677_01dat20190717tisCARconHEA,0.11526479750778816,0.557632398753894,0.0,0.0,0.32710280373831774,0.0,0.0,0.0,Non-malignant disease,
GSE160536_SC223_affected_RPMI,0.22988505747126436,0.7701149425287356,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE183031_HC03,0.5100171722953635,0.48483113909559244,0.0,0.0,0.005151688609044075,0.0,0.0,0.0,Control,
GSE181316_skin_7_scRNA_3,0.23670212765957446,0.7287234042553191,0.0,0.0,0.034574468085106384,0.0,0.0,0.0,Control,
GSE146123_human_molar_healthy_1,0.0,0.6330845771144279,0.36691542288557216,0.0,0.0,0.0,0.0,0.0,Control,
GSE155512_RPE004,0.0,0.0222809667673716,0.0,0.0,0.9777190332326284,0.0,0.0,0.0,Non-malignant disease,
GSE160536_SC222_affected_Cryostor,0.17054263565891473,0.8294573643410853,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE178481_RCC-PR6-N,0.0,0.9583333333333334,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,Cancer_AdjNorm,RCC
GSE183219_HSA_JGR_536SN_G,0.05454545454545454,0.06363636363636363,0.0,0.0,0.08181818181818182,0.8,0.0,0.0,Cancer_AdjNorm,NSCLC
GSE178481_RCC-RCC1-N,0.0,0.966804979253112,0.03319502074688797,0.0,0.0,0.0,0.0,0.0,Cancer_AdjNorm,RCC
GSE155468_10x_RPP_ATT_2,0.061452513966480445,0.17318435754189945,0.0446927374301676,0.0,0.7206703910614525,0.0,0.0,0.0,Non-malignant disease,
GSE143704_Sample_84100_HFVWYBGX9_hu_092718,0.6190476190476191,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE181957_SC229,0.2191780821917808,0.6986301369863014,0.0,0.0,0.0821917808219178,0.0,0.0,0.0,Non-malignant disease,
GSE147520_hThy29,0.21087588210875882,0.7596513075965131,0.0273972602739726,0.0,0.0020755500207555004,0.0,0.0,0.0,Control,
GSE178481_RCC-PR6-T,0.0,0.028901734104046242,0.9710982658959537,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,RCC
GSE132771_F1L,0.2717973697028738,0.6536775450560156,0.00535801266439357,0.004870920603994155,0.012177301509985387,0.05211885046273746,0.0,0.0,Non-malignant disease,
GSE164690_HN09_CD45n,0.012658227848101266,0.06329113924050633,0.05063291139240506,0.8354430379746836,0.0,0.0,0.0379746835443038,0.0,Cancer_Tumor,HNSCC
GSE181919_P16,0.17333333333333334,0.72,0.0,0.08,0.02666666666666667,0.0,0.0,0.0,Cancer_Tumor,Leukoplakia
