,T&NK|T&NK_ISG,T&NK|T_CD8_exhausted,T&NK|T_MAIT,T&NK|T_CD8_EMRA,T&NK|T_CD8_EM,T&NK|T_CD4_N&CM,T&NK|T_gdT_TRDV2,T&NK|T_CD8_MHCII,T&NK|NK_CD56,T&NK|T_CD8_N&CM,T&NK|NK_CD16,T&NK|T_CD4_EM_Th22,T&NK|T_CD4_EM_Tfh,T&NK|T_CD4_EM_Treg,T&NK|T_gdT_TRDV1,T&NK|T_CD8_activated,T&NK|T_CD4_activated,T&NK|T_CD8_RM,T&NK|T_CD4_RM_Th1,T&NK|T_CD4_RM_Th17,T&NK|T&NK_HSP,T&NK|T_CD4_EM_Th1,T&NK|ILC,T&NK|T_CD4_Eff_IL17,T&NK|NK_CXCR6,T&NK|T_CD4_RM_Treg,T&NK|T_CD8_KLRC2,T&NK|T_CD4_CXCL13,T&NK|T_CD4_EM_Th2,T&NK|T_CD4_EM_Th17,T&NK|T_CD4_Eff_IL13,T&NK|T_CD4_Eff_IFNG,Cancer_Tissue,Cancer_Type
GSE184703_009GEX,0.9783119739137028,0.02168802608629711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE147397_S20821,0.0,0.0,0.4690471159940841,0.24403126980773293,0.20916965983519967,0.04796112402281851,0.01605746883583351,0.006761039509824636,0.005282062117050497,0.001690259877456159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE150877_TCF,0.0,0.0,0.0,0.0,0.0,0.3801256002955301,0.0,0.0,0.0,0.6198743997044699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE171555_180E1A-00,0.0,0.0,0.051449571253572884,0.008574928542262147,0.008370763576970192,0.6859942833809718,0.038178848509595756,0.0,0.011637403021641487,0.07145773785218457,0.07942017149857085,0.015312372396896692,0.014087382605144957,0.010616578195181707,0.004899959167006942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE180878_RM_D,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,0.0,0.0,0.0,0.45528455284552843,0.4065040650406504,0.04878048780487805,0.016260162601626018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE129845_123,0.008,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.208,0.08,0.024,0.0,0.16,0.104,0.096,0.088,0.072,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Non-malignant disease,
GSE200173_Gene_express_2-3,0.008366256100395073,0.0,0.016848710202184522,0.03125726237508715,0.0,0.02393678828724146,0.0,0.0,0.0,0.0,0.11933534743202417,0.0,0.0,0.0,0.0,0.440971415291657,0.04915175458982105,0.0,0.0005809900069718801,0.0,0.0,0.0,0.0,0.0,0.3095514757146177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Cancer_Tumor,HCC
GSE161329_8donor_PBMC_A1,0.0,0.0,0.04030632809351068,0.026199113260781944,0.07940346634421604,0.6827891979040709,0.013301088270858524,0.0,0.008464328899637243,0.046352277307537285,0.10318419991938735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE168859_AHMWWJBBXX_LGL_23_bt1,0.0,0.0,0.0017718658517795697,0.006163011658363721,0.004724975604745519,0.920497149607108,0.0,0.0,0.0,0.03566842997278003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031174567305223153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Control,
GSE181919_C46,0.051552431165787935,0.1200937316930287,0.0,0.0,0.023432923257176334,0.02401874633860574,0.0,0.0,0.03046280023432923,0.0,0.0,0.0,0.0,0.05565319273579379,0.0,0.01698886936145284,0.03632103104862332,0.19976567076742824,0.0,0.0,0.3280609256004687,0.0,0.0,0.0,0.0,0.06444053895723492,0.029291154071470416,0.01991798476859988,0.0,0.0,0.0,0.0,Cancer_Tumor,HNSCC
