,PANGEA_annotation,SEN,PPV,CFS,score
oligodendrocyte@Monavarfeshani_2023_Eye,Oligodendrocyte_mature,0.998964050342745,0.9971837183718372,0.9999152901354136,0.9986870443856121
mast cell@Chen_2021_Cancer|CRC,Mast&Basophil,0.9960552268244576,1.0,0.9983735233037448,0.9981416039066496
Plasmablast@Stephenson_2021_Blood|COVID-19,Plasma,0.9906202723146748,0.9983736531815409,0.9996910791286884,0.9962202832771034
plasma cell@Chen_2021_Cancer|CRC,Plasma,0.9879356568364611,1.0,0.9999672778974416,0.9959514075207587
Mast cells@Hirz_2023_Cancer|PRC,Mast&Basophil,0.9912724733810439,0.9982422218316048,0.9980063229803484,0.995835088586727
hepatocyte@MacParland_2018_Liver,Hepatocyte,0.9911453870322765,0.9962675854148723,0.9999805476947452,0.9957912490771246
Hepatocytes@Aizarani_2019_Liver,Hepatocyte,0.9948897256589564,0.9922210300429185,0.9995439144549172,0.9955469609756294
Mast@Fan_2023_Cancer|CC,Mast&Basophil,0.9946502057613169,0.9942410530645824,0.9977216187010484,0.9955364148717419
Mast-KIT@Fan_2023_Cancer|CC,Mast&Basophil,0.9946502057613169,0.9942410530645824,0.9977216187010484,0.9955364148717419
cMA01 (Mast)@Pelka_2021_Cancer|CRC,Mast&Basophil,0.995565988523735,0.9896292455276121,0.9996825952337572,0.994950713563217
pDC@Park_2020_Thymus,Dendritic_plasmacytoid,0.9933206106870229,0.994269340974212,0.9952205287956576,0.9942698576113733
pDC@Quah_2023_Cancer|HNSCC,Dendritic_plasmacytoid,0.9963636363636363,0.9891696750902527,0.9972130886158832,0.9942422420808834
oligodendrocyte precursor cell@Monavarfeshani_2023_Eye,Oligodendrocyte_progenitor,0.9856198989506413,0.9996058336618053,0.9970185540226104,0.994062815120492
Mast cells@Sikkema_2023_Lung,Mast&Basophil,0.9870149479088026,0.9925599757060432,0.9994618597106926,0.9929992140329671
pDC@Hao_2021_Blood,Dendritic_plasmacytoid,0.9772079772079773,0.9990291262135922,0.9999308414587692,0.9920000768698986
HSC@Stephenson_2021_Blood|COVID-19,Hematopoietic,0.9924812030075187,0.990990990990991,0.9921507403497948,0.9918741055623957
Mast@Adams_2020_Lung|IPF,Mast&Basophil,0.9894662921348315,0.9936530324400564,0.9898202522912444,0.990978047283963
Mast@Adams_2020_Lung|IPF,Mast&Basophil,0.9894662921348315,0.9936530324400564,0.9898202522912444,0.990978047283963
Mast cell@Wang_2023_Cancer|CRC,Mast&Basophil,0.9840342679127726,0.989041095890411,0.9997377968491844,0.9909161133370836
plasma cell@MacParland_2018_Liver,Plasma,0.9843444227005871,0.9882121807465619,0.9996405846837848,0.9907111614651961
"plasmacytoid dendritic cell, human@Schulte-Schrepping_2020_Blood|COVID-19",Dendritic_plasmacytoid,0.9883268482490273,0.9864077669902913,0.995356423631103,0.9900228842253908
pDC@Schulte-Schrepping_2020_Blood|COVID-19,Dendritic_plasmacytoid,0.9883268482490273,0.9864077669902913,0.995356423631103,0.9900228842253908
Mast cell@Elmentaite_2021_Intestine,Mast&Basophil,0.9867549668874173,0.9867549668874173,0.9961679536050198,0.9898827045965235
