,avg,spec
T&NK,0.24647665067306115,0.06818181818181818
Monocyte,0.043864278713789305,0.11363636363636363
B_mature,0.030279635673378005,0.13636363636363635
Dendritic_classical,0.01933950411927907,0.20454545454545456
Platelet,0.00032514176754002756,0.8181818181818182
Dendritic_plasmacytoid,0.004697151123353306,0.4772727272727273
Neuron_excitatory,0.011960482840272586,0.9545454545454546
Neuron_inhibitory,0.006634372886586768,0.9545454545454546
Oligodendrocyte_mature,0.004895540964591671,0.9772727272727273
Oligodendrocyte_progenitor,0.0006934081601570185,0.9772727272727273
Astrocyte,0.0037678914455290258,0.9545454545454546
Plasma,0.021983006783186026,0.13636363636363635
Ductal,0.13988331254897968,0.4318181818181818
Macrophage,0.07242193570264764,0.045454545454545456
Mast&Basophil,0.005785873138783782,0.25
Fibroblast,0.1676752439532834,0.36363636363636365
Endothelial,0.05943798739439587,0.22727272727272727
Mural,0.037278701668877215,0.38636363636363635
Neutrophil,0.01748376937783372,0.6590909090909091
Hematopoietic,0.02406871174878294,0.8863636363636364
Squamous,0.03078933296058201,0.6136363636363636
Erythroid,0.0015164803180906144,0.7954545454545454
Melanocyte,0.0015155242529039637,0.9545454545454546
B_GC,0.005783080337551339,0.8636363636363636
Schwann,0.0019482522703929825,0.6363636363636364
Ciliated,0.013121809871908167,0.7727272727272727
Spermatocyte,0.015029838660446987,0.9090909090909091
B_progenitor,0.002626166552911618,0.9545454545454546
Rod,0.0023752169752246518,1.0
Hepatocyte,0.005307890514836175,1.0
Neuron_bipolar,0.0005513061183913109,1.0
Muller,0.00048250048245188434,0.9772727272727273
