,spec,entropy,avg,cell
B_mature|CCL4,0.5111111111111111,1.9789069540727529,0.0023395819925978367,B_mature
B_mature|EGR,0.5555555555555556,2.46679490533741,0.002132560760965504,B_mature
B_mature|GBP,0.7777777777777778,0.7129035632721464,0.001428161888506828,B_mature
B_mature|HSP,0.5111111111111111,2.470198212797948,0.020158669803498664,B_mature
B_mature|ISG,0.8,1.2197545529900684,0.0024038609972477096,B_mature
B_mature|Memory_atypical,0.7111111111111111,2.0597799369155934,0.002904598008171824,B_mature
B_mature|Memory_switched,0.28888888888888886,2.965971664512791,0.035040355018802954,B_mature
B_mature|Memory_unswitched,0.35555555555555557,2.815099575372121,0.09016893016096363,B_mature
B_mature|Naive,0.3111111111111111,2.82256560081063,0.07186786958658788,B_mature
Dendritic_classical|ACY3,0.6,2.4038499081482807,0.0011766303777273582,Dendritic_classical
Dendritic_classical|AS-DC,0.5777777777777777,2.390901829234918,0.0016068316953009498,Dendritic_classical
Dendritic_classical|CXCL9,0.7777777777777778,1.6413651707856556,0.000313032176006037,Dendritic_classical
Dendritic_classical|DC1,0.3333333333333333,2.995795262973177,0.02976273595011106,Dendritic_classical
Dendritic_classical|DC2,0.35555555555555557,2.7073209993179193,0.03202437505324493,Dendritic_classical
Dendritic_classical|DC3,0.6,2.0727056830653825,0.008783775135970126,Dendritic_classical
Dendritic_classical|EGR,0.5777777777777777,2.3902224847716296,0.004424883866138657,Dendritic_classical
Dendritic_classical|EREG,0.4444444444444444,2.825727589691892,0.04412092808049084,Dendritic_classical
Dendritic_classical|FCGR3A,0.5333333333333333,2.4785308895481575,0.016184097950310897,Dendritic_classical
Dendritic_classical|HSP,0.6222222222222222,2.494677131722178,0.0046101058226019655,Dendritic_classical
Dendritic_classical|ISG,0.8222222222222222,1.559702206743549,0.0012397966947637262,Dendritic_classical
Dendritic_classical|LAMP3,0.4222222222222222,2.681611439391052,0.010341147463437275,Dendritic_classical
Dendritic_classical|Langerhans,0.7777777777777778,1.8771662043900332,0.002466278239219663,Dendritic_classical
Ductal|AT0,0.9777777777777777,0.5259274098871589,6.211178224566843e-05,Ductal
Ductal|AT1,0.9777777777777777,0.1470877242352667,0.0016574235003948235,Ductal
Ductal|AT2,0.9333333333333333,0.7984828579465635,0.011179677700799346,Ductal
Ductal|BEST4,0.9777777777777777,0.10113115070239248,0.00047613492294191166,Ductal
Ductal|Club,0.8222222222222222,1.624256955949907,0.05373032014074142,Ductal
Ductal|Collecting-duct,0.9777777777777777,0.63323736604186,0.0012165119903412669,Ductal
Ductal|Colonocyte,1.0,0.0,0.0010867553073383152,Ductal
Ductal|Conjunctival,0.9555555555555556,0.19556048515568564,0.004170339257067664,Ductal
Ductal|DEFB4A,0.9555555555555556,0.6137622074180001,0.0007975451512196322,Ductal
Ductal|Enterocyte,0.9555555555555556,0.564516966440255,0.004384062981560332,Ductal
Ductal|Ependymal,1.0,0.010093136748533939,0.00038248571781714433,Ductal
Ductal|Gastric,0.9777777777777777,0.03459243726652009,0.0032118784859359218,Ductal
Ductal|Gastrointestinal_common,0.8888888888888888,0.7986388065221928,0.022399251084185876,Ductal
Ductal|Gingival,1.0,0.014111820604369016,0.0016991002746130825,Ductal
Ductal|Gland_CA6,1.0,0.05522371123622833,0.0003113707527359497,Ductal
Ductal|Gland_LTF,0.8888888888888888,0.9172016831829702,0.03306800425220679,Ductal
Ductal|Gland_MUCL1,0.8222222222222222,0.8902979725184665,0.012766545887641029,Ductal
Ductal|Gland_SOX17,0.8888888888888888,1.0512994858265994,0.035318901339584374,Ductal
Ductal|Goblet,0.9777777777777777,0.5457699980536621,0.0032299261676612618,Ductal
Ductal|Ionocyte,0.8666666666666667,0.9278600360478553,0.004563866862529319,Ductal
Ductal|KLK7,0.8222222222222222,1.5596593801657532,0.028323644926760413,Ductal
Ductal|Pancreatobiliary_acinar,1.0,0.008533673756791156,0.013539136438644156,Ductal
Ductal|Pancreatobiliary_ductal,0.9777777777777777,0.5399573347450415,0.009350723011383875,Ductal
Ductal|Proximal-tubule,0.9777777777777777,0.6386919225852887,0.011406117759105446,Ductal
Ductal|Submucosal_mucous,0.9555555555555556,0.8814735905901168,0.0005024015747662323,Ductal
Ductal|Submucosal_serous,0.9333333333333333,0.742370219476268,0.0037011234008687156,Ductal
Ductal|Thick-ascending,0.9777777777777777,0.2239329108471311,0.0071243980320516015,Ductal
Ductal|Trophoblast_extravillous,1.0,0.003919668886558458,0.002794941181620416,Ductal
Ductal|Trophoblast_villous,1.0,0.0,0.0011950754233743038,Ductal
Ductal|Tuft,0.9333333333333333,1.2228318484635854,0.00018379540803841067,Ductal
Ductal|Urothelial,0.9555555555555556,0.9564868901439814,0.017990797670187755,Ductal
Ductal|thin-limb,1.0,0.0,0.00016967762245976057,Ductal
Endothelial|Arterial,0.3111111111111111,3.195161856781297,0.0619753183085818,Endothelial
Endothelial|BMP4,0.7777777777777778,1.4422768514175766,0.004090532930734488,Endothelial
Endothelial|CXCR4,0.5111111111111111,2.4482755050517744,0.008515747067922397,Endothelial
Endothelial|Capillary_BBB,0.9777777777777777,0.29588387833617463,0.00104372261262575,Endothelial
Endothelial|Capillary_activated,0.4888888888888889,2.1479530094957613,0.006022252340558976,Endothelial
Endothelial|Capillary_aerocyte,0.9555555555555556,0.20745754034959282,0.0028871836285848337,Endothelial
Endothelial|Capillary_general,0.37777777777777777,2.7480977259970505,0.06741807441662852,Endothelial
Endothelial|Lymphatic_HGF,0.7777777777777778,1.8062007439619516,0.0003068410690710389,Endothelial
Endothelial|Lymphatic_LYVE1,0.4,2.8692509549916188,0.041212616024361146,Endothelial
Endothelial|Sinusoidal,0.9777777777777777,0.17701462044929492,0.006101086973922826,Endothelial
Endothelial|Venous_C7,0.4222222222222222,2.8561176644940485,0.012210296031600525,Endothelial
Endothelial|Venous_CXCL10,0.8666666666666667,1.3729836318410908,0.00010341478895307195,Endothelial
Endothelial|Venous_DPEP1,0.8222222222222222,1.013862909984342,0.006335655198201102,Endothelial
Endothelial|Venous_ISG,0.8888888888888888,0.9019398806491921,0.00016729919064548728,Endothelial
Endothelial|Venous_activated,0.4222222222222222,2.831699385085486,0.08004427073261665,Endothelial
Endothelial|Venous_general,0.3111111111111111,3.088898366603582,0.08638955056674595,Endothelial
Fibroblast|ADAMDEC1,0.9777777777777777,0.22681544905030696,0.0024733053942614823,Fibroblast
Fibroblast|Alveolar,0.7333333333333333,1.6175447451883922,0.003262192990626885,Fibroblast
Fibroblast|CCL19,0.7333333333333333,1.949133501678402,0.005254234240041256,Fibroblast
Fibroblast|CD36,0.6666666666666666,2.139731518693637,0.054767326100711854,Fibroblast
Fibroblast|CLDN1,0.6,2.304921112824316,0.0028994708360866564,Fibroblast
Fibroblast|CLEC14A,0.8666666666666667,1.2873413059728944,0.015122791288504748,Fibroblast
Fibroblast|COCH,1.0,0.0,0.00047287327592571187,Fibroblast
Fibroblast|COX15,1.0,0.0,0.005113439558628846,Fibroblast
Fibroblast|CST2,0.8444444444444444,0.9654900506754834,0.003551635299271205,Fibroblast
Fibroblast|Chondrocyte,0.9555555555555556,0.33587061670706836,0.013691425099209918,Fibroblast
Fibroblast|Corneal,0.9555555555555556,0.49718662973760297,0.0013268985224041845,Fibroblast
Fibroblast|Dermal-sheath,0.9333333333333333,0.6051017696531312,0.001177184594281389,Fibroblast
Fibroblast|GREM2,0.9111111111111111,1.0283015418579768,0.03022795749800454,Fibroblast
Fibroblast|HSP,0.7111111111111111,1.5455302349001583,0.02324623462050392,Fibroblast
Fibroblast|IL24,0.7777777777777778,1.292254518090217,0.004842235814468737,Fibroblast
Fibroblast|IL6,0.6,2.1386451117620373,0.04604766073245285,Fibroblast
Fibroblast|ISG,0.7777777777777778,1.9912067893411725,0.00023720138343515492,Fibroblast
Fibroblast|ITGB8,0.8444444444444444,1.4835270162252585,0.0308919428140022,Fibroblast
Fibroblast|KLK1,0.9333333333333333,0.6238975061329358,0.0009700895947426791,Fibroblast
Fibroblast|LRRC15,0.6888888888888889,2.079905676604608,0.006339517595368988,Fibroblast
Fibroblast|NRG1,0.9777777777777777,0.2445374750777728,0.012248163216377197,Fibroblast
Fibroblast|SYT1,0.9777777777777777,0.27235999160446644,0.003974949373360331,Fibroblast
Fibroblast|Satellite,0.9555555555555556,0.6206044776452122,0.005280309796895363,Fibroblast
Fibroblast|Universal,0.4444444444444444,2.7732831037359413,0.147908967066482,Fibroblast
Macrophage|Alveolar,0.6666666666666666,2.0012005433538587,0.02601007700257256,Macrophage
Macrophage|CX3CR1,0.35555555555555557,2.7700250255192818,0.1185786414844882,Macrophage
Macrophage|EREG,0.2,3.080494945388576,0.1062234062287316,Macrophage
Macrophage|HSP,0.4222222222222222,2.198301075006084,0.02582875854625777,Macrophage
Macrophage|ISG,0.6,1.8337033912099245,0.028374107958082605,Macrophage
Macrophage|LYVE1,0.2,3.219338506525288,0.16049253201568642,Macrophage
Macrophage|MATK,0.4666666666666667,2.3568487345256015,0.032451415659201774,Macrophage
Monocyte|Classical_CCL4,0.35555555555555557,2.8093087872551012,0.07755606308969588,Monocyte
Monocyte|Classical_FABP5,0.3333333333333333,2.5911810605062415,0.07580354557109385,Monocyte
Monocyte|Classical_IL1R2,0.4,2.5837426659646856,0.07701125700096466,Monocyte
Monocyte|Classical_general,0.13333333333333333,3.0912506277416205,0.08976843652099312,Monocyte
Monocyte|HSP,0.37777777777777777,2.9089650851586115,0.021563697062069183,Monocyte
Monocyte|ISG,0.7111111111111111,1.5380081748145595,0.012613758987715702,Monocyte
Monocyte|Intermediate,0.6666666666666666,2.0857292669051093,0.002601972241742166,Monocyte
Monocyte|Non-classical,0.3111111111111111,2.9021978342500474,0.023361567398751774,Monocyte
Mural|CD36,0.4222222222222222,2.710743625808313,0.031294602378484575,Mural
Mural|FGF7,0.4666666666666667,2.8459213899725313,0.0409842021693487,Mural
Mural|ISG,0.8222222222222222,1.110312074350272,0.00039006005540899013,Mural
Mural|LAMC3,0.9777777777777777,0.6510191039386276,0.0016179872107173687,Mural
Mural|RERGL,0.37777777777777777,3.0610326945755904,0.1666980510697649,Mural
Mural|ROBO2,1.0,0.0,1.8595379420121686e-06,Mural
Mural|SPINT2,0.6,2.0499945477421737,0.045081370467195826,Mural
Mural|TNFAIP6,0.8,1.563451630715539,0.0033080874427388494,Mural
Squamous|Basal,0.7777777777777778,1.8349277094586824,0.07293905736574027,Squamous
Squamous|Ciliary,1.0,0.0,0.0013605442176870747,Squamous
Squamous|Corneal,1.0,0.0,0.00523606959730559,Squamous
Squamous|Eccrine,0.9555555555555556,0.7895326761255892,0.0011139090985688392,Squamous
Squamous|HFSC,1.0,0.0,2.288976380799338e-05,Squamous
Squamous|Keratinocyte_activated,0.9555555555555556,0.328850711802898,0.002774690832229671,Squamous
