,Ductal,Fibroblast,Endothelial,Mural,Plasma,T&NK,B_GC,Dendritic_plasmacytoid,Macrophage,Monocyte,B_mature,Dendritic_classical,Platelet,Hematopoietic,Squamous,Mast&Basophil,Hepatocyte,Neuron_excitatory,Astrocyte,Oligodendrocyte_mature,Neuron_inhibitory,Oligodendrocyte_progenitor,Erythroid,Neutrophil,Melanocyte,Schwann,B_progenitor,Ciliated,Muller,Rod,Neuron_bipolar,Spermatocyte,Organ
GSE167295_SC167,0.0733130982955872,0.0037356992762082653,0.031519962643007236,0.0,0.007004436142890497,0.4492178379640439,0.0,0.0,0.08802241419565725,0.03899136119542377,0.140789166472099,0.01774457156198926,0.0,0.0,0.010740135419098762,0.01027317300957273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12864814382442213,0.0,0.0,0.0,0.0,Lung
GSE128066_SC68,0.036885245901639344,0.42110655737704916,0.09016393442622951,0.12295081967213115,0.00665983606557377,0.03278688524590164,0.0,0.0,0.03944672131147541,0.0,0.0,0.015881147540983607,0.0,0.0,0.15932377049180327,0.02305327868852459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008709016393442622,0.0430327868852459,0.0,0.0,0.0,0.0,0.0,0.0,Skin
GSE128066_SC124,0.043357933579335796,0.235239852398524,0.12269372693726938,0.13214944649446494,0.00507380073800738,0.021678966789667898,0.0,0.0,0.03044280442804428,0.0,0.0,0.0020756457564575647,0.0,0.0,0.37661439114391143,0.009686346863468635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00922509225092251,0.0117619926199262,0.0,0.0,0.0,0.0,0.0,0.0,Skin
GSE128066_SC125,0.03145079472438282,0.18329387893134935,0.07676699357456881,0.18870476834629693,0.002705444707473791,0.023334460601961447,0.0,0.0,0.025025363544132567,0.0,0.0,0.006425431180250254,0.0,0.0,0.4430165708488333,0.002705444707473791,0.0,0.0,0.0,0.0,0.0,0.0,0.003043625295908015,0.0,0.0016909029421711193,0.011836320595197836,0.0,0.0,0.0,0.0,0.0,0.0,Skin
GSE128066_CS_PBL,0.0,0.0,0.0,0.0,0.0,0.7986294148655773,0.0,0.0,0.007380073800738007,0.14022140221402213,0.032156035846072746,0.015287295730100159,0.0063257775434897206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blood
GSE128066_KC_PBL,0.0,0.0,0.0,0.0,0.0,0.6373355263157895,0.0,0.0028782894736842104,0.0,0.2759046052631579,0.06414473684210527,0.01069078947368421,0.009046052631578948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blood
GSE128066_TB_PBL,0.0,0.0,0.0,0.0,0.0,0.7396496815286624,0.0,0.006767515923566879,0.0,0.20302547770700638,0.03304140127388535,0.01751592356687898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blood
GSE128066_TC_PBL,0.0,0.0,0.0,0.0,0.0,0.7505957108816521,0.0,0.006354249404289118,0.0,0.17434471803018267,0.05242255758538523,0.011517077045274026,0.0,0.004765687053216839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Blood
GSE180544_MSG11,0.38749491387494917,0.21863556218635563,0.11447172114471721,0.04489353044893531,0.14525973145259732,0.04787739047877391,0.0,0.0,0.0196663501966635,0.0,0.0043401600434016,0.004475790044757901,0.0,0.0,0.010307880103078801,0.0025769700257697002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mouth
GSE180544_MSG15,0.8253377446925834,0.0500413564929694,0.017990074441687345,0.007030603804797354,0.034463744141163495,0.045492142266335814,0.0,0.0,0.01213123793768955,0.0,0.0041356492969396195,0.0,0.0,0.0,0.0017921146953405018,0.0011717673007995589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00041356492969396195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mouth
GSE180544_MSG18,0.5877862595419847,0.116793893129771,0.09185750636132316,0.04783715012722646,0.048091603053435114,0.038931297709923665,0.0,0.0,0.03486005089058524,0.0,0.0,0.0,0.0,0.0,0.02748091603053435,0.006361323155216285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mouth
GSE180544_MSG21,0.6890978063664852,0.10110506349991753,0.05822200230908791,0.024080488207158173,0.029853207982846776,0.05442850074220683,0.0,0.0,0.025399967013029854,0.0,0.001814283358073561,0.002474022761009401,0.0,0.0,0.013524657760184727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mouth
GSE181297_Keloid1,0.0,0.3215209518882566,0.24741334712881533,0.15086652871184686,0.0,0.03136316606311433,0.0,0.0,0.02677185721676151,0.0,0.0023926539058458356,0.011639937920331092,0.0,0.0,0.15629849974133472,0.04209777547853078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018106570098292809,0.007824624935333679,0.0,0.0,0.0,0.0,0.0,0.0,Skin
