,Organ,Ductal|Gland_MUCL1,Ductal|DEFB4A,T&NK|T&NK_ISG,T&NK|T_CD8_exhausted,T&NK|T_MAIT,T&NK|T_CD8_EMRA,T&NK|T_CD8_EM,T&NK|T_CD4_N&CM,T&NK|T_gdT_TRDV2,T&NK|T_CD8_MHCII,T&NK|NK_CD56,T&NK|T_CD8_N&CM,T&NK|NK_CD16,T&NK|T_CD4_EM_Th22,T&NK|T_CD4_EM_Tfh,T&NK|T_CD4_EM_Treg,T&NK|T_gdT_TRDV1,Monocyte|Classical_general,Monocyte|ISG,Monocyte|Non-classical,Monocyte|Intermediate,B_mature|Naive,B_mature|Memory_switched,B_mature|Memory_unswitched,B_mature|Memory_atypical,Dendritic_classical|DC3,Dendritic_classical|DC2,Dendritic_classical|DC1,Ductal|Gland_LTF,Fibroblast|IL6,Fibroblast|HSP,Fibroblast|Universal,Fibroblast|KLK1,Endothelial|Venous_activated,Endothelial|Capillary_activated,Endothelial|Arterial,Endothelial|Capillary_general,Endothelial|Lymphatic_LYVE1,Endothelial|Venous_general,Squamous|Myoepithelial,T&NK|T_CD8_activated,T&NK|T_CD4_activated,T&NK|T_CD8_RM,T&NK|T_CD4_RM_Th1,Mural|FGF7,Mural|RERGL,Mural|CD36,Ductal|Enterocyte,Ductal|Gastrointestinal_common,Ductal|Goblet,Ductal|Tuft,T&NK|T_CD4_RM_Th17,T&NK|T&NK_HSP,T&NK|T_CD4_EM_Th1,T&NK|ILC,T&NK|T_CD4_Eff_IL17,T&NK|NK_CXCR6,Endothelial|Sinusoidal,Endothelial|BMP4,Endothelial|Venous_C7,Macrophage|LYVE1,Macrophage|EREG,Monocyte|Classical_IL1R2,Monocyte|HSP,Endothelial|CXCR4,Macrophage|CX3CR1,Monocyte|Classical_CCL4,Monocyte|Classical_FABP5,Ductal|Pancreatobiliary_ductal,Ductal|Pancreatobiliary_acinar,Dendritic_classical|FCGR3A,Dendritic_classical|EGR,Dendritic_classical|LAMP3,B_mature|CCL4,B_mature|HSP,T&NK|T_CD4_EM_Th2,Endothelial|Capillary_BBB,Mural|SPINT2,Fibroblast|CST2,Fibroblast|Alveolar,Fibroblast|LRRC15,T&NK|T_CD4_CXCL13,T&NK|T_CD4_RM_Treg,Dendritic_classical|ISG,Macrophage|Alveolar,Dendritic_classical|EREG,Dendritic_classical|AS-DC,Mural|TNFAIP6,Squamous|Eccrine,Squamous|Keratinocyte_basal,Squamous|Keratinocyte_spinous,Squamous|MHCII,Fibroblast|GREM2,Fibroblast|IL24,Fibroblast|CLDN1,Macrophage|MATK,Squamous|Corneal,Ductal|Conjunctival,Ductal|KLK7,Ductal|Club,Fibroblast|Corneal,Fibroblast|COX15,Macrophage|HSP,Fibroblast|CD36,Fibroblast|Chondrocyte,Squamous|Keratinocyte_granular,Squamous|HFSC,Endothelial|Venous_ISG,Fibroblast|CCL19,Fibroblast|Dermal-sheath,Ductal|Gland_CA6,T&NK|T_CD8_KLRC2,Endothelial|Capillary_aerocyte,Mural|LAMC3,Ductal|Ependymal,Dendritic_classical|HSP,Dendritic_classical|ACY3,B_mature|EGR,Fibroblast|SYT1,Macrophage|ISG,Fibroblast|ISG,Squamous|Ciliary,T&NK|T_CD4_EM_Th17,B_mature|ISG,Fibroblast|COCH,Endothelial|Lymphatic_HGF,Ductal|Proximal-tubule,Ductal|Ionocyte,Ductal|Thick-ascending,Ductal|Collecting-duct,Endothelial|Venous_DPEP1,Fibroblast|ITGB8,Dendritic_classical|Langerhans,Ductal|AT2,Ductal|AT1,Fibroblast|CLEC14A,Mural|ISG,Squamous|Keratinocyte_activated,Ductal|Submucosal_mucous,Ductal|Submucosal_serous,Squamous|Basal,T&NK|T_CD4_Eff_IL13,Fibroblast|Satellite,Ductal|Gland_SOX17,Ductal|BEST4,Ductal|Colonocyte,Fibroblast|NRG1,Fibroblast|ADAMDEC1,Squamous|McSC,B_mature|GBP,Dendritic_classical|CXCL9,Squamous|cTEC,Ductal|Urothelial,Endothelial|Venous_CXCL10,Ductal|AT0,Ductal|Trophoblast_extravillous,Squamous|Sebaceous,Ductal|Trophoblast_villous,Squamous|Trophoblast,Ductal|thin-limb,Mural|ROBO2,Squamous|Umbrella,Ductal|Gastric,Ductal|Gingival,T&NK|T_CD4_Eff_IFNG
GSE167295_SC167,Lung,,,,,,,,0.09732693625771076,,,,,0.04043865661411926,,0.03906785469499657,,,0.06015037593984962,,0.22556390977443608,,0.08183632734530938,0.015968063872255488,0.9021956087824351,,,0.031746031746031744,0.1746031746031746,,,,,,0.08653846153846154,,0.2980769230769231,,0.2403846153846154,0.11538461538461539,,0.2117888965044551,0.5572309801233721,,0.027416038382453736,,,,,,,,,,,,,,,,0.25,0.021929824561403508,0.02631578947368421,0.5639097744360902,,,,0.08270676691729323,0.06766917293233082,,,0.12698412698412698,,0.09523809523809523,,,,,,,,,,0.026730637422892393,,0.8421052631578947,0.5714285714285714,,,,,,,,,,0.10964912280701754,,,,0.5758754863813229,,,,,,,,,,,,,0.009615384615384616,,,,,,,,,,,,,,,,,,,,,0.2918287937743191,0.08949416342412451,,,,,,,,,,,,,,,,,,,,0.042801556420233464,,,,,,,,,,
GSE128066_SC68,Skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018092105263157895,,0.20261437908496732,0.1111111111111111,0.09803921568627451,0.16339869281045752,0.12418300653594772,0.3006535947712418,,,,,,0.08849557522123894,0.6858407079646017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22566371681415928,,,,,,,,,,,0.08333333333333333,0.38492063492063494,0.3968253968253968,,0.4901315789473684,,0.02631578947368421,,,,,,,,,,,0.027777777777777776,,,0.125,0.07894736842105263,,,,,,,,,,,,,,,0.26151315789473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10714285714285714,,,,,,,,
GSE128066_SC124,Skin,0.5735294117647058,,,,,,,0.01639344262295082,,,,,0.06557377049180328,0.03278688524590164,,0.13114754098360656,,,,,,,,,,,,,0.23529411764705882,,,0.01732283464566929,,0.6162790697674418,0.03255813953488372,0.06976744186046512,0.0069767441860465115,,0.2744186046511628,,0.14754098360655737,0.22950819672131148,,0.01639344262295082,0.3264150943396226,0.5226415094339623,,,,,,0.06557377049180328,0.14754098360655737,,0.06557377049180328,,,,,,0.16923076923076924,0.8153846153846154,,,,0.015384615384615385,,,,,,,,,,0.06557377049180328,,0.1509433962264151,,,,0.01639344262295082,,,,,,,0.08956328645447817,0.38786084381939306,0.4855662472242783,,0.48661417322834644,,0.04251968503937008,,,,,,,,,,,0.013323464100666173,,,0.10078740157480315,0.2,0.19117647058823528,,,,,,,,,,,,,,0.15275590551181104,,,,,,,,,,,,,0.011843079200592153,,,,,,,,,,,,,,,,,,,0.011843079200592153,,,,,,,,
GSE128066_SC125,Skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0585480093676815,,0.49206349206349204,0.015873015873015872,0.13756613756613756,0.06878306878306878,0.07936507936507936,0.20634920634920634,,,,,,0.2943396226415094,0.5207547169811321,0.026415094339622643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15849056603773584,,,,,,,,,,,0.06096528365791702,0.2193056731583404,0.6943268416596104,,0.6838407494145199,,0.053864168618266976,,,,,,,,,,,0.02540220152413209,,,0.1873536299765808,0.01639344262295082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE128066_CS_PBL,Blood,,,,,,0.0827178729689808,0.05243722304283604,0.7503692762186115,,,0.007385524372230428,0.019940915805022157,0.05760709010339734,0.022895125553914326,,0.0066469719350073855,,0.82421875,0.05859375,0.08984375,0.02734375,0.49122807017543857,0.3333333333333333,0.14035087719298245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03508771929824561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE128066_KC_PBL,Blood,,,,,,0.024271844660194174,0.004160887656033287,0.7808599167822469,,,0.012482662968099861,0.057558945908460474,0.12066574202496533,,,,,0.8052959501557633,0.037383177570093455,0.13707165109034267,0.020249221183800622,0.6381578947368421,0.16447368421052633,0.10526315789473684,0.09210526315789473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE128066_TB_PBL,Blood,,,,,,0.07266666666666667,0.04666666666666667,0.5573333333333333,0.03,,0.02,0.196,0.042666666666666665,,,0.034666666666666665,,0.8149779735682819,0.00881057268722467,0.1762114537444934,,0.6710526315789473,0.2631578947368421,0.06578947368421052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE128066_TC_PBL,Blood,,,,,0.02240717029449424,0.06145966709346991,0.04353393085787452,0.5813060179257362,0.046094750320102434,,0.02176696542893726,0.08322663252240717,0.14020486555697823,,,,,0.9154589371980676,,0.07246376811594203,0.012077294685990338,0.5116279069767442,0.3333333333333333,0.11627906976744186,0.03875968992248062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSE180544_MSG11,Mouth,,,,,,,0.16058394160583941,0.6277372262773723,,0.058394160583941604,,,0.06934306569343066,0.0364963503649635,,,,,,,,,,,,,,,0.8853403141361257,,,0.9746341463414634,,0.1724137931034483,,0.06896551724137931,0.12443778110944528,0.044977511244377814,0.5892053973013494,,,,0.04744525547445255,,0.21978021978021978,0.5677655677655677,0.21245421245421245,,,,,,,,,,,,,,0.8740740740740741,,,,,0.1259259259259259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014634146341463415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005235602094240838,,,,,,,,,,,0.11413612565445026,,,,0.010731707317073172,,,,,,,,,,,,,,,,,,,,,,
GSE180544_MSG15,Mouth,,,,,,,0.10163934426229508,0.7180327868852459,,0.04918032786885246,,,0.006557377049180328,,,,,,,,,,,,,,,,0.7131230925737538,,,0.9855072463768116,0.014492753623188406,,,0.102880658436214,,,0.8930041152263375,,,,0.12459016393442623,,0.031914893617021274,0.8297872340425532,0.13829787234042554,,,,,,,,,,,,,0.00411522633744856,0.4406779661016949,,,,,0.559322033898305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2578840284842319,0.02899287894201424,,,,,,,,,,,,,,,,,,,,,,,,,
