,Full name
ALL,Acute lymphoblastic leukemia
ALS,Amyotrophic lateral sclerosis
AML,Acute myeloid leukemia
ASD,Autism spectrum disorder
ATRT,Atypical teratoid rhabdoid tumor
Abscess,Abscess
Acne,Acne
Acute kidney injury,Acute kidney injury
Adhesion,Adhesion
Agammaglobulinemia,Agammaglobulinemia
Alcohol use disorder,Alcohol use disorder
Allergic rhinitis,Allergic rhinitis
Alzheimer,Alzheimer’s disease
Amyloid angiopathy,Amyloid angiopathy
Aortic aneurysm,Aortic aneurysm
Arrhythmia,Arrhythmia
Asthma,Asthma
Atherosclerosis,Atherosclerosis
BCC,Basal cell carcinoma
BLCA,Bladder carcinoma
BRCA,Breast carcinoma
CCA,Cholangiocarcinoma
CLL,Chronic lymphocytic leukemia
CMML,Chronic myelomonocytic leukemia
CMV infection,Cytomegalovirus infection
COPD,Chronic obstructive pulmonary disease
CRC,Colorectal cancer
Cardiac tamponade,Cardiac tamponade
Cardiomyopathy,Cardiomyopathy
Cardiovascular,Cardiovascular disease
Cholecystolithiasis,Cholecystolithiasis
Chronic Wound,Chronic Wound
Chronic gastritis,Chronic gastritis
Chronic kidney disease,Chronic kidney disease
Chronic pancreatitis,Chronic pancreatitis
Chronic rhinosinusitis,Chronic rhinosinusitis
Clinically isolated syndrome,Clinically isolated syndrome
Community acuired pneumonia,Community acuired pneumonia
Covid-19,Covid-19
Crigler-Najjar,Crigler–Najjar syndrome
Cryptozoospermia,Cryptozoospermia
Cystic fibrosis,Cystic fibrosis
DA,Diffuse Astrocytoma
DADA2,Deficiency of adenosine deaminase 2
DBF4 neutropenia,Congenital neutropenia associated with DBF4 mutations
DCMP,Dilated cardiomyopathy
DLB,Lewy-body dementia
DRESS,Drug reaction with eosinophilia and systemic symptoms
Dementia,Dementia
Depression,Depression
Dupuytren,Dupuytren’s disease
EC,Endometrial cancer
ESCA,Esophageal carcinoma
ETMR,Embryonal tumour with multilayered rosettes
Endometriosis,Endometriosis
Eosinophilic fasciitis,Eosinophilic fasciitis
Epilepsy,Epilepsy
Essential thrombocytopenia,Essential thrombocytopenia
FAP,Familial adenomatous polyposis
FSGS,Focal segmental glomerulosclerosis
FTLD,Frontotemporal lobar degeneration
Fanconi anemia,Fanconi anemia
GBM,Glioblastoma
GC,Gastric cancer
GCC,Goblet cell carcinoma
GCT,Giant cell tumor
GI-NET,Gastrointestinal neuroendocrine tumor
Generalized pustular psoriasis,Generalized pustular psoriasis
Granuloma annulare,Granuloma annulare
HB,Hepatoblastoma
HCA,Hepatocellular adenoma
HCC,Hepatocellular carcinoma
HNSCC,Head and neck squamous cell carcinoma
HS,Hidradenitis suppurativa
Huntington,Huntington’s disease
IBD,Inflammatory bowel disease
IPAH,Idiopathic pulmonary arterial hypertension
IPF,Idiopathic pulmonary fibrosis
Infertility,Infertility
Ischemic cardiomyopathy,Ischemic cardiomyopathy
Kawasaki,Kawasaki disease
Keloid,Keloid disease
Klinefelter,Klinefelter syndrome
LPL/WM,Lymphoplasmacytic lymphoma / Waldenström macroglobulinemia
Leiomyoma,Leiomyoma
Leukoplakia,Leukoplakia
Limbal dysplasia,Limbal dysplasia
Lipoma,Lipoma
Liver cirrhosis,Liver cirrhosis
Liver injury,Liver injury
Lyme,Lyme disease
Lymphoma,Lymphoma
MB,Medulloblastoma
MCC,Merkel cell carcinoma
MCD,Minimal change disease
MCI,Mild cognitive impairment
MEL,Melanoma
MENG,Meningioma
MGUS,Monoclonal gammopathy of undetermined significance
MIS-C,Multisystem inflammatory syndrome in children
MM,Multiple myeloma
MPNST,Malignant peripheral nerve sheath tumor
Major depressive disorder,Major depressive disorder
Marfan,Marfan syndrome
Multiple sclerosis,Multiple sclerosis
Myasthenia gravis,Myasthenia gravis
Myelofibrosis,Myelofibrosis
NAFLD,Non-alcoholic fatty liver disease
NSCLC,Non-small cell lung cancer
Neuroblastoma,Neuroblastoma
Neurofibroma,Neurofibroma
Neuromyelitis optica,Neuromyelitis optica
ODG,Oligodendroglioma
OSC,Osteosarcoma
OV-FTC,Ovarian cancer and follicular thyroid cancer
Obesity,Obesity
Oral inflammation,Oral inflammation
Osteoarthritis,Osteoarthritis
PA,Pilocytic astrocytoma
PAH,Pulmonary arterial hypertension
PC,Pancreatic cancer
PCNSL,Primary central nervous system lymphoma
PPB,Pleuropulmonary blastoma
PRC,Prostate cancer
Parkinson,Parkinson
Periodontitis,Periodontitis
Pneumonia,Pneumonia
Pneumonia-bacterial,Bacterial pneunomia
Polydactyly,Polydactyly
Post-transplant complication,Post-transplant complication
Pre-neoplastic,Pre-neoplastic lesions
Psoriatic arthritis,Psoriatic arthritis
RA,Rheumatoid arthritis
RB,Retinoblastoma
RCC,Renal cell carcinoma
Rejection,Post-transplant rejection
Reticular dysgenesis,Reticular dysgenesis
SCD,Sickle cell disease
SCLC,Small cell lung cancer
SGTs,Salivary gland tumor
SLE,Systemic lupus erythematosus
Sarcoidosis,Sarcoidosis
Scar,Scar
Scleroderma,Scleroderma
Sialoblastoma,Sialoblastoma
T-LGL,T-cell large granular lymphocytic leukemia
T1DM,Type 1 diabetes mellitus
T2DM,Type 2 diabetes mellitus
THCA,Thyroid cancer
TSC,Tuberous sclerosis complex
Thalassemia,Thalassemia
Transplant,Transplant
Trauma,Trauma
Unspecified,Unspecified
Uveitis,Uveitis
Vaccine,Vaccination
Vogt Koyanagi Harada,Vogt Koyanagi Harada
Volvulus,Volvulus
irAE-Arthritis,Immune-related adverse event–associated arthritis
irAE-Colitis,Immune-related adverse event–associated colitis
